# TRAN_FACTOR_NAME_RDB	TF_SYNS_RDB	FINAL_STATE_RDB	CON_SYNS_RDB	CONFORMATION_TYPE_RDB	INTERACTION_TYPE_RDB	APO_HOLO_CONFOR_RDB	EFFECTOR_NAME_RDB	EFFECTOR_TYPE_RDB	EFF_SYNS_RDB		TRANSC_FACTOR_NAME_ECO	TF_SYNS_ECO	FINAL_STATE_ECO	CON_SYNS_ECO	CONFORMATION_TYPE_ECO	INTERACTION_TYPE_ECO	APO_HOLO_ECO	EFFECTOR_NAME_ECO	EFFECTOR_TYPE_ECO	EFF_SYNS_ECO
CueR	CopR,DNA-binding transcriptional dual regulator CueR,YbbI	CueR-Au		Active	Allosteric	Holo	Au	positive												
CysB	DNA-binding transcriptional dual regulator CysB,positive transcriptional regulator for cysteine regulon	CysB-N-acetyl-L-serine		Active	Allosteric	Holo	N-acetyl-L-serine	positive												
CysB	DNA-binding transcriptional dual regulator CysB,positive transcriptional regulator for cysteine regulon	CysB-Sulphide		Inactive	Allosteric	Holo	Sulphide	negative												
CysB	DNA-binding transcriptional dual regulator CysB,positive transcriptional regulator for cysteine regulon	CysB-Thiosulfate		Inactive	Allosteric	Holo	Thiosulphate	negative												
DeoR	DNA-binding transcriptional repressor DeoR,NucR,transcriptional repressor for deo operon, tsx, nupG	DeoR-Deoxyribose-5-phosphate		Inactive	Allosteric	Holo	Deoxyribose-5-phosphate,Deoxyribose-5-phosphate	negative												
DhaR	DNA-binding transcriptional dual regulator DhaR,YcgU	DhaR-DhaK		Inactive	Allosteric	Holo	DhaK	negative												
ExuR	DNA-binding transcriptional repressor ExuR,negative regulator of exu regulon, exuT, uxaAC, and uxuB	"ExuR-&alpha;-D-galacturonate, &alpha;-D-glucuronate"		Active			"&alpha;-D-glucuronate"		"&alpha;-D-glucopyranuronic acid,&alpha;-D-glucuronic acid"											
FNR	DNA-binding transcriptional dual regulator FNR,NirA,NirR,OssA,OxrA	FNR-[2Fe-2S]<sup>2+</sup> oxidized		Inactive	Covalent	Apo	[2Fe-2S]<sup>2+</sup> oxidized	negative												
FNR	DNA-binding transcriptional dual regulator FNR,NirA,NirR,OssA,OxrA	FNR-[4Fe-4S]<sup>2+</sup> reduced		Active	Covalent	Holo	[4Fe-4S]<sup>2+</sup> reduced	positive												
Fur	DNA-binding transcriptional dual regulator Fur	Fur-Mn<SUP>2+</SUP>		Active	Allosteric	Holo	Mn<SUP>2+</SUP>		Mn(II) (incorrect),Mn<SUP>++</SUP>,Mn<sup>II</sup>,manganese(II)											
GcvA	DNA-binding transcriptional dual regulator GcvA,positive regulator of gcv operon	GcvA-Purine		Inactive	Allosteric	Holo	Purine	negative												
GlcC	DNA-binding transcriptional dual regulator GlcC,YghN	GlcC-Acetate		Active	Allosteric	Holo	Acetate	positive												
HypT	DNA-binding transcriptional dual regulator HypT,QseD,YjiE	HypT-Met-oxidized	HypT-[Met-oxidized],YjiE	Active			Met-oxidized													
IdnR	DNA-binding transcriptional dual regulator IdnR,GntH,YjgS	IdnR-Idonate		Active	Allosteric	Holo	Idonate	positive												
IlvY	DNA-binding transcriptional dual regulator IlvY,positive regulator for ilvC	IlvY-Alfa-acetohydroxybutirate		Active	Allosteric	Holo	Alfa-acetohydroxybutirate	positive												
MalT	DNA-binding transcriptional activator MalT,MalA	MalT-Aes		Inactive	Allosteric	Holo	Aes	negative												
MalT	DNA-binding transcriptional activator MalT,MalA	MalT-MalK		Inactive	Allosteric	Holo	MalK	negative												
MalT	DNA-binding transcriptional activator MalT,MalA	MalT-maltotriose-ADP		Active	Allosteric	Holo	ADP	positive												
MalT	DNA-binding transcriptional activator MalT,MalA	MalT-maltotriose-ADP		Active	Allosteric	Holo	maltotriose	positive	"&alpha;-D-glucopyranosyl-(1&rarr;4)-&alpha;-D-glucopyranosyl-(1&rarr;4)-D-glucose,amylotriose"											
MalT	DNA-binding transcriptional activator MalT,MalA	MalT-MalY		Inactive	Allosteric	Holo	MalY	negative												
MarR	CfxB,DNA-binding transcriptional repressor MarR,InaR,SoxQ	MarR-2,4-dinitrophenol		Inactive	Allosteric	Holo	2,4-dinitrophenol	negative	"&alpha;-dinitrophenol,1-hydroxy-2,4-dinitrobenzene,2,4-DNP"											
MarR	CfxB,DNA-binding transcriptional repressor MarR,InaR,SoxQ	MarR-Benzoate		Inactive	Allosteric	Holo	Benzoate	negative												
MarR	CfxB,DNA-binding transcriptional repressor MarR,InaR,SoxQ	MarR-Menadione		Inactive	Allosteric	Holo	Menadione	negative												
MarR	CfxB,DNA-binding transcriptional repressor MarR,InaR,SoxQ	MarR-Paraquat		Inactive	Allosteric	Holo	Paraquat	negative												
MarR	CfxB,DNA-binding transcriptional repressor MarR,InaR,SoxQ	MarR-Phenazine methosulfate		Inactive	Allosteric	Holo	Phenazine methosulfate	negative												
MarR	CfxB,DNA-binding transcriptional repressor MarR,InaR,SoxQ	MarR-Plumbagin		Inactive	Allosteric	Holo	Plumbagin	negative												
MarR	CfxB,DNA-binding transcriptional repressor MarR,InaR,SoxQ	MarR-Sodium salicylate		Inactive	Allosteric	Holo	Sodium salicylate	negative												
MetJ	B3938,MetJ,MetJ-SAM	MetJ-adenine		Inactive			adenine													
MetJ	B3938,MetJ,MetJ-SAM	MetJ-MTA		Inactive			<i>S</i>-methyl-5'-thioadenosine													
MhpR	DNA-binding transcriptional activator MhpR	MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]		Active	Allosteric	Holo	3-(2,3-dihydroxyphenyl)propionate [DHPP]	positive												
Mlc	DNA-binding transcriptional repressor Mlc,DgsA	Mlc-EIIGlC		Inactive	Allosteric	Holo	EIIGlc	negative												
MntR	MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator	MntR-Cd<sup>2+</sup>		Active	Allosteric	Holo	Cd<sup>2+</sup>	positive												
MprA	DNA-binding transcriptional repressor MprA,EmrR	MprA-Carbonyl cyanide p-(trifluoro-methoxy)phenylhydrazone		Inactive	Allosteric	Holo	Carbonyl cyanide p-(trifluoro-methoxy)phenylhydrazone	negative												
NfeR	DNA-binding transcriptional repressor NfeR,YqjI	NfeR-Fe<sup>2+</sup>		Inactive	Allosteric	Holo	Fe<SUP>2+</SUP>	negative	Fe<sup>II</sup>,ferrous ion,ferrous iron,iron(II)											
NikR	B3481,NikR,NikR-Ni transcriptional repressor,YhhG	NikR-Cd<sup>2+</sup>		Active	Allosteric	Holo	Cd<sup>2+</sup>	positive												
NikR	B3481,NikR,NikR-Ni transcriptional repressor,YhhG	NikR-Co<SUP>2+</SUP>		Active	Allosteric	Holo	Co<SUP>2+</SUP>	negative	Co<SUP>++</SUP>,Co<sup>II</sup>,cobalt(II)											
NikR	B3481,NikR,NikR-Ni transcriptional repressor,YhhG	NikR-Cu<SUP>+</SUP>		Active	Allosteric	Holo	Cu<SUP>+</SUP>	positive	Cu<sup>I</sup>,copper(I),cuprous copper,cuprous ion											
NikR	B3481,NikR,NikR-Ni transcriptional repressor,YhhG	NikR-Zn<SUP>2+</SUP>		Active	Allosteric	Holo	Zn<SUP>2+</SUP>	positive	Zn(II) (incorrect),Zn<sup>II</sup>,zinc(II)											
NrdR	NrdR transcriptional repressor,YbaD	NrdR-ATP		Active	Allosteric	Holo	ATP	positive	adenosine-5'-triphosphate,adenosine-triphosphate,adenylpyrophosphate											
NrdR	NrdR transcriptional repressor,YbaD	NrdR-dATP		Active	Allosteric	Holo	dATP	positive												
NsrR	DNA-binding transcriptional repressor NsrR,YjeB	NsrR-[2Fe-2S]<sup>2+</sup> oxidized		Inactive	Covalent	Apo	[2Fe-2S]<sup>2+</sup> oxidized	negative												
NsrR	DNA-binding transcriptional repressor NsrR,YjeB	NsrR-[2Fe-2S]reduced		Active	Covalent	Holo	[2Fe-2S] reduced	positive												
PurR	DNA-binding transcriptional repressor PurR	PurR-Guanine		Active	Allosteric	Holo	Guanine	positive												
RhaR	DNA-binding transcriptional activator RhaR	"RhaR-&alpha;-L-rhamnopyranose"		Active	Allosteric	Holo	"&alpha;-L-rhamnopyranose"	positive												
RhaS	DNA-binding transcriptional activator RhaS	"RhaS-&alpha;-L-rhamnopyranose"		Active	Allosteric	Holo	"&alpha;-L-rhamnopyranose"	positive												
SoxR	DNA-binding transcriptional dual regulator SoxR,MarC	SoxR-[2Fe-2S]<sup>2+</sup> reduced		Inactive	Covalent	Apo	[2Fe-2S]<sup>2+</sup> reduced	negative												
SoxR	DNA-binding transcriptional dual regulator SoxR,MarC	SoxR-[2Fe-2S]<sup>3+</sup> oxydized		Active	Covalent	Holo	[2Fe-2S]<sup>3+</sup> oxydized	positive												
TorR	DNA-binding transcriptional dual regulator TorR,TorR response regulator	TorR-TorI		Inactive	Covalent	Holo	TorI	negative												
TreR	DNA-binding transcriptional repressor TreR	TreR-Trehalose		Inactive	Allosteric	Holo	Trehalose	negative												
TyrR	DNA-binding transcriptional dual regulator TyrR	TyrR-L-tryptophan		Active	Allosteric	Holo	L-tryptophan	positive	2-amino-3-indolylpropanic acid,L-trp,W,trofan,trp,tryptacin,tryptophan											
ZntR	ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator	ZntR-Cd<sup>2+</sup>		Active	Allosteric	Holo	Cd<sup>2+</sup>	positive												
ZntR	ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator	ZntR-Hg		Active	Allosteric	Holo	Hg	positive												
