# From bin/get_pathway_compounds.pl on Sun Jul 26 11:16:24 2020
# Pathway	Enzymes
TRNA-CHARGING-PWY	ARGS-MONOMER,CYSS-MONOMER,GLNS-MONOMER,GLURS-MONOMER,ILES-MONOMER,LEUS-MONOMER,VALS-MONOMER,ALAS-CPLX,ASNS-CPLX,ASPS-CPLX,TYRS-CPLX,TRPS-CPLX,THRS-CPLX,SERS-CPLX,PROS-CPLX,PHES-CPLX,LYSU-CPLX,LYSS-CPLX,HISS-CPLX,GLYS-CPLX,METG-CPLX
COA-PWY	COADTRI-CPLX,EG12312-MONOMER,CPLX0-341
PWY0-1591	ANGLYC3PDEHYDROG-CPLX,EG12244-MONOMER
PWY0-1337	G6244-MONOMER,FADB-CPLX,G7212-MONOMER
PWY0-1590	NADH-DHI-CPLX,EG12244-MONOMER
PWY-7980	ATPSYN-CPLX
PWY-5705	G6275-MONOMER,CPLX-64,CPLX-7524,G6284-MONOMER
PWY-5837	MENE-CPLX,O-SUCCINYLBENZOATE-COA-SYN-MONOMER,MENF-CPLX,CPLX0-7525,EG12438-MONOMER,CPLX0-7882,CPLX0-8128
PWY-5698	CPLX-64,CPLX-7524,G6284-MONOMER
PWY0-41	CPLX-64,CPLX-7524,G6284-MONOMER,CPLX0-7993,CARBPSYN-CPLX,EG12384-MONOMER
ARABCAT-PWY	ARABISOM-CPLX,RIBULPEPIM-CPLX,RIBULOKIN-CPLX
ARGSYN-PWY	CPLX0-238,ARGSUCCINLYA-MONOMER,ORNCARBAMTRANSFERI-CPLX,ORNCARBAMTRANSFERF-CPLX,CARBPSYN-CPLX,N-ACETYLTRANSFER-CPLX,ACETYLGLUTKIN-CPLX,N-ACETYLGLUTPREDUCT-MONOMER,ACETYLORNTRANSAM-CPLX,GABATRANSAM-CPLX,ACETYLORNDEACET-CPLX
SALVPURINE2-PWY	GPT-CPLX,XANTHOSINEPHOSPHORY-CPLX,EG12159-MONOMER
PPGPPMET-PWY	PPPGPPHYDRO-CPLX,RELA-MONOMER,SPOT-MONOMER,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER
PWY-6605	ADENPRIBOSYLTRAN-CPLX,EG11082-MONOMER
PWY-6611	DEOD-CPLX,EG12159-MONOMER,ADENODEAMIN-MONOMER,CPLX0-322
PROPIONMET-PWY	METHYLMALONYL-COA-EPIM-MONOMER,CPLX0-7741,PROPIONYL-COA-CARBOXY-MONOMER
PWY-6609	XANTHOSINEPHOSPHORY-CPLX,DEOD-CPLX,EG12159-MONOMER,ADENODEAMIN-MONOMER,CPLX0-7685,GPT-CPLX
PWY0-42	ACS-MONOMER,G6200-MONOMER,CPLX0-251,G6199-MONOMER,CPLX0-7761,CPLX0-1021
GLYCLEAV-PWY	E3-CPLX,GCVP-CPLX,GCVMULTI-CPLX,GCVT-MONOMER
PWY0-1391	CPLX0-1541
PWY-66	GDPMANDEHYDRA-CPLX,CPLX0-3881
DAPLYSINESYN-PWY	CPLX0-7997,DIAMINOPIMDECARB-CPLX,CPLX0-3161,ACETYLORNTRANSAM-CPLX,PSERTRANSAM-CPLX,CPLX0-3181,DIHYDRODIPICSYN-CPLX,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,ASPKINIII-CPLX,DIHYDROPICRED-CPLX
PWY-5659	CPLX0-7877,MANNPISOM-MONOMER,PHOSMANMUT-MONOMER,MANNPGUANYLTRANGDP-MONOMER
PEPTIDOGLYCANSYN-PWY	NACGLCTRANS-MONOMER,PHOSNACMURPENTATRANS-MONOMER,UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER,UDPNACETYLMURAMATEDEHYDROG-MONOMER,UDP-NACMURALGLDAPAALIG-MONOMER,CPLX0-8014,UDP-NACMURALA-GLU-LIG-MONOMER,GLUTRACE-MONOMER,UDP-NACMURALGLDAPLIG-MONOMER,DALADALALIGA-MONOMER,DALADALALIGB-CPLX
PWY0-1586	G7668-MONOMER,G7322-MONOMER,EG12867-MONOMER,G7265-MONOMER,CPLX0-8254,RPOA-MONOMER,CPLX0-8252,G6904-MONOMER,EG10606-MONOMER,EG10341-MONOMER,CPLX0-3951,CPLX0-7717,EG11253-MONOMER
PWY-6700	CPLX0-3501,CPLX0-1101,EG10812-MONOMER,G7843-MONOMER
PWY0-1554	CPLX0-8190,CPLX0-8010
THISYN-PWY	HMP-P-KIN-CPLX,THIC-MONOMER,THI-P-KIN-MONOMER,THIE-MONOMER,THIG-MONOMER,CPLX0-743,THII-MONOMER,THIF-MONOMER,THIH-MONOMER,CPLX0-248,CPLX0-246
PWY0-1479	CPLX0-3521,EG11620-MONOMER,CPLX0-3601,CPLX0-1382,CPLX0-3602,EG10858-MONOMER,EG10863-MONOMER,CPLX0-3461
PWY-6890	HMP-P-KIN-CPLX,THIC-MONOMER
PWY-7892	G7199-MONOMER,EG11344-MONOMER,CPLX0-248,CPLX0-246,EG12216-MONOMER,EG12876-MONOMER,CPLX-3942,CPLX0-7609
PWY-6618	CPLX0-322
PWY0-1587	CPLX0-8182,G7698-MONOMER
PWY-6579	GPT-CPLX,CPLX0-7685,DEOD-CPLX,XANTHOSINEPHOSPHORY-CPLX,EG12159-MONOMER,CPLX0-322
PWY0-1324	NANE-MONOMER,ACNEULY-CPLX,NANK-MONOMER
PWY-6620	GPT-CPLX,CPLX0-7685,DEOD-CPLX,XANTHOSINEPHOSPHORY-CPLX,EG12159-MONOMER
CYANCAT-PWY	CARBODEHYDRAT-CPLX,CYANLY-CPLX
ARG+POLYAMINE-SYN	ARGDECARBOXBIO-CPLX,ARGDECARBOXDEG-CPLX,AGMATIN-CPLX,ORNDECARBOX-BIO-CPLX,ORNDECARBOXDEG-CPLX,SAMDECARB-CPLX,SPERMIDINESYN-CPLX,LYSDECARBOX-CPLX,LDC2-CPLX,CPLX0-238,ARGSUCCINLYA-MONOMER,ORNCARBAMTRANSFERI-CPLX,ORNCARBAMTRANSFERF-CPLX,CARBPSYN-CPLX,N-ACETYLTRANSFER-CPLX,ACETYLGLUTKIN-CPLX,N-ACETYLGLUTPREDUCT-MONOMER,ACETYLORNTRANSAM-CPLX,SUCCORNTRANSAM-CPLX,GABATRANSAM-CPLX,ACETYLORNDEACET-CPLX
PWY0-1601	LYSDECARBOX-CPLX,LDC2-CPLX
PWY0-1303	SPERMIDINESYN-CPLX,LYSDECARBOX-CPLX,LDC2-CPLX
PWY0-1305	GLUTDECARBOXA-CPLX,GLUTDECARBOXB-CPLX
PWY-4121	GSP-CPLX
PWY0-1299	ARGDECARBOXDEG-CPLX
POLYAMSYN-PWY	ARGDECARBOXBIO-CPLX,ARGDECARBOXDEG-CPLX,AGMATIN-CPLX,ORNDECARBOX-BIO-CPLX,ORNDECARBOXDEG-CPLX,SAMDECARB-CPLX,SPERMIDINESYN-CPLX,LYSDECARBOX-CPLX,LDC2-CPLX
PWY0-1501	
BETSYN-PWY	CHD-MONOMER,BADH-CPLX
PWY0-1481	
PWY0-1468	
PWY0-301	G7859-MONOMER,CPLX0-7744,G7860-MONOMER,CPLX0-7848
PWY-6126	ADENYLOSUCCINATE-SYN-DIMER,CPLX0-7959,ADENYL-KIN-MONOMER,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX
PWY0-1506	
PWY-6125	IMP-DEHYDROG-CPLX,GMP-SYN-CPLX,GUANYL-KIN-CPLX,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER
PWY-6961	LYXK-CPLX,CPLX0-2061,EG12285-MONOMER,EG12286-MONOMER,EG12287-MONOMER
DENOVOPURINE2-PWY	PRPPAMIDOTRANS-CPLX,GLYCRIBONUCSYN-MONOMER,FGAMSYN-MONOMER,AIRS-CPLX,GARTRANSFORMYL2-MONOMER,SAICARSYN-CPLX,AICARTRANSIMPCYCLO-CPLX,PURE-CPLX,PURK-CPLX,IMP-DEHYDROG-CPLX,GMP-SYN-CPLX,GUANYL-KIN-CPLX,ADENYLOSUCCINATE-SYN-DIMER,CPLX0-7959,ADENYL-KIN-MONOMER,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX
PWY0-1485	
PWY0-43	CPLX0-7741,CPLX0-254,G7517-MONOMER
PWY0-1514	
PWY-7220	RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,NUCLEOSIDE-DIP-KIN-CPLX,RIBONUCLEOSIDE-TRIP-REDUCT-CPLX
PWY0-1492	
PWY0-1519	
PWY0-1497	
PWY0-1458	
PWY-6387	UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER,UDPNACETYLMURAMATEDEHYDROG-MONOMER,UDP-NACMURALGLDAPAALIG-MONOMER,CPLX0-8014,UDP-NACMURALA-GLU-LIG-MONOMER,GLUTRACE-MONOMER,UDP-NACMURALGLDAPLIG-MONOMER,DALADALALIGA-MONOMER,DALADALALIGB-CPLX
PWY0-1500	
BRANCHED-CHAIN-AA-SYN-PWY	3-ISOPROPYLMALDEHYDROG-CPLX,G6986-MONOMER,TYRB-DIMER,2-ISOPROPYLMALATESYN-MONOMER,3-ISOPROPYLMALISOM-CPLX,DIHYDROXYACIDDEHYDRAT-CPLX,BRANCHED-CHAINAMINOTRANSFER-CPLX,CPLX0-7643,ACETOLACTSYNIII-CPLX,ACETOLACTSYNI-CPLX,ACETOLACTSYNII-CPLX,THREDEHYDSYN-CPLX,THREDEHYDCAT-CPLX
PWY0-1588	
SER-GLYSYN-PWY	PSERTRANSAM-CPLX,PGLYCDEHYDROG-CPLX,PSERPHOSPHA-MONOMER,GLYOHMETRANS-CPLX
ASPASN-PWY	ASPARTASE-CPLX,ASPAMINOTRANS-DIMER,ASNSYNB-CPLX,ASNSYNA-CPLX,ANSB-CPLX,ANSA-CPLX,CPLX0-263
PWY0-1297	DEOD-CPLX,ADENODEAMIN-MONOMER,PPENTOMUT-MONOMER,DEOXYRIBOSE-P-ALD-MONOMER,G7285-MONOMER,ADHE-CPLX,MHPF-MONOMER
ENTBACSYN-PWY	ENTC-MONOMER,MENF-CPLX,ENTB-CPLX,ENTA-CPLX,EG12221-MONOMER,HOLO-ACP-SYNTH-CPLX,ENTE-CPLX,ENTD-MONOMER,ENTMULTI-CPLX,ENTF-PANT
P4-PWY	HOMOSERKIN-CPLX,THRESYN-MONOMER,ASPAMINOTRANS-DIMER,CPLX0-7997,DIAMINOPIMDECARB-CPLX,CPLX0-3161,ACETYLORNTRANSAM-CPLX,PSERTRANSAM-CPLX,CPLX0-3181,DIHYDRODIPICSYN-CPLX,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,ASPKINIHOMOSERDEHYDROGI-CPLX,ASPKINIIHOMOSERDEHYDROGII-CPLX,ASPKINIII-CPLX,DIHYDROPICRED-CPLX,HOMSUCTRAN-CPLX,HOMOCYSMET-MONOMER,HOMOCYSMETB12-MONOMER,O-SUCCHOMOSERLYASE-CPLX,CYSTATHIONINE-BETA-LYASE-CPLX,CPLX0-8092
COMPLETE-ARO-PWY	AROB-MONOMER,AROG-CPLX,AROH-CPLX,AROF-CPLX,AROC-CPLX,AROA-MONOMER,AROL-MONOMER,AROK-MONOMER,CPLX0-7462,AROE-MONOMER,AROD-CPLX,PRAI-IGPS,ANTHRANSYNCOMPII-MONOMER,ANTHRANSYN-CPLX,TRYPSYN-APROTEIN,TRYPSYN,CPLX0-2401,BRANCHED-CHAINAMINOTRANSFER-CPLX,TYRB-DIMER,ASPAMINOTRANS-DIMER,CHORISMUTPREPHENDEHYDRAT-CPLX,CHORISMUTPREPHENDEHYDROG-CPLX
PANTOSYN-PWY	PANTOATE-BETA-ALANINE-LIG-CPLX,2-DEHYDROPANTOATE-REDUCT-MONOMER,CPLX0-7643,3-METHYL-2-OXOBUT-OHCH3XFER-CPLX,PANTOTHENATE-KIN-CPLX,COADTRI-CPLX,EG12312-MONOMER,CPLX0-341,CPLX0-2901
PWY0-1505	
PWY0-1474	
PWY0-1483	
PWY-7179	DEOD-CPLX,ADENODEAMIN-MONOMER
PWY-6019	CPLX0-8233,EG11646-MONOMER
PWY-2161	GLYOHMETRANS-CPLX,MONOMER0-1661,FOLC-MONOMER
PWY0-1512	
PWY-6614	H2PTEROATESYNTH-CPLX,FOLC-MONOMER,DIHYDROFOLATEREDUCT-MONOMER,G6862-MONOMER
PWY-7184	CPLX0-7692,DUTP-PYROP-CPLX,G7164-MONOMER,THYMIDYLATESYN-CPLX,CPLX0-8260,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER,RIBONUCLEOSIDE-DIP-REDUCTII-CPLX,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX
1CMET2-PWY	DIHYDROFOLATEREDUCT-MONOMER,G6862-MONOMER,EG11158-MONOMER,METHYLENETHFREDUCT-CPLX,HOMOCYSMETB12-MONOMER,GCVMULTI-CPLX,FOLD-CPLX,GLYOHMETRANS-CPLX,THYMIDYLATESYN-CPLX
PWY-7801	EG11112-MONOMER
PWY-6612	H2PTEROATESYNTH-CPLX,FOLC-MONOMER,DIHYDROFOLATEREDUCT-MONOMER,G6862-MONOMER,H2PTERIDINEPYROPHOSPHOKIN-MONOMER,CPLX0-3936,DIHYDRONEOPTERIN-MONO-P-DEPHOS-MONOMER,H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,FOLE-CPLX,PABASYN-CPLX,ADCLY-CPLX
PWY-7206	CPLX0-7692,DUTP-PYROP-CPLX,G7164-MONOMER,G6954-MONOMER
PWY-6543	PABASYN-CPLX,ADCLY-CPLX
PWY-7197	CPLX0-8260,CMPKI-MONOMER,NUCLEOSIDE-DIP-KIN-CPLX,ADENYL-KIN-MONOMER
PWY0-1518	
PWY0-1490	
PWY-6282	CPLX0-8006,FABZ-CPLX,CPLX0-8005,FABB-CPLX,CPLX0-7630
PWY0-1495	
PWY0-1296	ADENODEAMIN-MONOMER,DEOD-CPLX,XANTHOSINEPHOSPHORY-CPLX,EG12159-MONOMER,PPENTOMUT-MONOMER
PWY-6617	AMP-NUCLEOSID-CPLX,CPLX0-8262
GLNSYN-PWY	GLUTAMINESYN-OLIGOMER
NRI-PWY	GLNE-MONOMER,GLUTAMINESYN-OLIGOMER,GLND-MONOMER
AMMASSIM-PWY	GLUTAMINESYN-OLIGOMER,GLUTAMATESYN-CPLX
PWY0-321	G6716-MONOMER,CPLX0-1762,G6718-MONOMER,G6715-MONOMER,G6708-MONOMER,G6719-MONOMER,G6714-MONOMER
